driverId,name,ssn,location,certified,wage-plan
10,Jack Whitehead,127-38-1381,"69955 Thompson Flats
South Ericland, NE 56485",N,hours
11,Stephanie Hernandez,444-45-3228,"507 Jeffrey Shoal Suite 530
Middletonhaven, AR 47557",N,hours
12,Stephanie Adams,347-91-2132,"PSC 2520, Box 2902
APO AP 70682",N,miles
13,Todd Turner,596-01-3785,"39035 Martinez Wall Suite 205
West Amy, SD 69060",Y,hours
14,Jose Lam,081-09-7416,"54342 Richardson Island
Sheppardberg, MH 31668",N,hours
15,Jessica Miller,468-56-5544,"051 Michael Oval Suite 881
Pruittchester, VA 85654",Y,miles
16,Cody White PhD,036-94-2072,"568 Carter Course Suite 081
Lake Makaylaview, VA 86955",N,hours
17,Stacy Fleming,620-89-7685,"85842 Green Street
Lake Paulport, CT 67288",N,miles
18,Eric Williams,428-16-2244,"970 Ramirez Mission
Ramirezside, OH 95608",Y,miles
19,Gail Haley,696-99-8210,"12516 Martinez Ford
East John, AZ 06216",Y,miles
20,Stephanie Calhoun,561-07-3760,"414 Mccullough Forges
West Jeffery, ID 53350",Y,miles
21,Dr. Julie Collins DVM,144-33-5269,"854 Hernandez Turnpike
North Joelmouth, WI 10823",N,miles
22,Katherine Doyle,654-10-5490,"57082 Taylor Overpass
East Laura, UT 69257",Y,hours
23,Sharon Shah,476-77-4129,"249 Mark Bypass
Riveraville, TN 19276",N,hours
24,Grace Austin,099-97-8583,"279 Simpson Park Suite 515
Cherylmouth, CA 19669",N,miles
25,Evelyn Dillon,335-20-3553,"644 Gallagher Mountains Apt. 461
West Maria, MI 39809",Y,miles
26,Jeffrey Caldwell,091-25-8349,"86448 Michael Springs Suite 241
Port Susan, UT 58629",Y,hours
27,Elizabeth Parker,433-11-6724,"240 Ayala Common Suite 831
West Andreatown, KS 71526",N,miles
28,Jennifer Schmidt,162-76-9661,"501 Bailey Pine
Hinesmouth, NY 12358",N,miles
29,Brian Braun,252-75-3616,"972 Stephanie Courts Apt. 253
Davidmouth, HI 32831",Y,miles
30,Crystal Richards,895-54-6551,"8292 Stacey Springs Suite 485
East Nancyshire, IL 90649",N,miles
31,Michelle Manning,449-79-6267,"52057 Michael Land Suite 746
West Brian, RI 05565",Y,miles
32,Robert Morales,364-44-9887,"450 Wall Tunnel Suite 343
West Amandaland, VA 97844",N,miles
33,Dr. Mark Herrera Jr.,224-40-8751,"Unit 7576 Box 2485
DPO AE 56115",Y,hours
34,Ryan Hayes DVM,550-65-0373,"084 Estes Route Apt. 914
Reynoldsbury, IL 26279",N,miles
35,Darrell Merritt,241-14-5740,"3148 Yvonne Pines
Villarrealmouth, IN 31418",Y,hours
36,Adriana Blevins,043-75-4021,"36138 Jeremy Pass
Buckton, MD 44989",N,hours
37,Alexis Morgan,754-91-1732,"4871 Klein Tunnel
Leonardfurt, TX 14432",Y,hours
38,Mrs. Stacey Cameron,534-42-7270,"USNS Coleman
FPO AA 88444",N,hours
39,Miguel Butler,046-21-4560,"75011 Woods Islands
Youngshire, CO 67232",Y,miles
40,Michael Cervantes,743-73-5139,"4377 Reyes Lane
West Jodiville, MD 51756",N,hours
